,Developer,First release,Latest release,License,Platform
InterplaySilicon & Synapse (C64)[1],1988,1994,Commercial,"Microsoft Windows, Apple Inc., Amiga, 3DO, Acorn Archimedes,  Atari, Commodore 64, MS-DOS, FM Towns, NES, PC-98, Sharp X68000",Battle Chess
Interplay,2014-04,n/a,Commercial,Steam (software),Battle Chess: Game of Kings
Targem GamesZuxxez Entertainment,2011,n/a,Commercial (Topware Interactive),"Microsoft Windows, Mac OS X, Nintendo DS, PlayStation 3, PlayStation Portable, Xbox 360, Wii",Battle vs. Chess
Pixel Wizards[2][3],2018,n/a,Commercial,"Steam (software), Microsoft Windows, Mac OS X",Chessaria: The Tactical Adventure
Victor Zakharov,1988,2018,Commercial (Convekta),Microsoft Windows,Chess Assistant
"Mathias Wüllenweber, Mathias Feist",1987,2018,Commercial (Chessbase),"Microsoft Windows, Android, Steam",Chessbase
"David Kittinger, Kathe and Dan Spracklen, Johan de Koning",1986,2007,Commercial (Ubisoft),"MS Windows, MS-DOS, PlayStation, Xbox 360, (XBLA), PSP, PS2",Chessmaster
Oberon Games,2007,n/a,Included in Microsoft Windows Vista and 7,"Windows Vista, Windows 7",Chess Titans
Gregory Strong,2009,n/a,GPL,Microsoft Windows,ChessV
"Frans Morsch, Mathias Feist, Gyula Horvath, Vasik Rajlich",1991,2018,Commercial (Chessbase),"Microsoft Windows, Steam, PlayStation 3, Wii, Nintendo DS",Fritz
Chessbase,2005,2010,Commercial (Chessbase),"Microsoft Windows, Mac, Nintendo DS",Fritz and Chesster
"Robert Ancell, GNOME Team",2000,2018,Free,Unix-like,GNOME Chess
"Stuart Cracraft, John Stanback, Chua Kong-Sian, Fabien Letouzey",1984,2013,Free,"Microsoft Windows, Unix-like",GNU Chess
Mark Uniacke,1980,2012,"Commercial (Chessbase, Hiarcs.com)","Microsoft Windows, iOS, Mac OS X, Windows Mobile, Freescale DragonBall, ARM-based Palm OS",HIARCS
Robert Houdart,2010,2018,"Commercial (Chessbase, Convekta)",Microsoft Windows,Houdini
"Amir Ban, Shay Bushinsky",1997,2014,"Commercial (Chessbase, Hiarcs.com)",Microsoft Windows,Junior
"Don Dailey, Larry Kaufman, Mark Lefler",2010,2018,"Commercial (Chessbase, Komodochess.com)","Microsoft Windows, Linux, Macintosh Operating System, Android",Komodo
Chessbase,2003,2018,Commercial (Chessbase),"Microsoft Windows, web",Playchess
Tord Romstad,2014,2018,Free to try with in-app purchases,"Android, iOS",Play Magnus
VooFoo Studios,2012,n/a,Commercial (Ripstone),"Microsoft Windows, Android, iOS,  PlayStation 3, PlayStation Vita",Pure Chess
PyChess Project,2006,2018,GPL,Unix-like Microsoft Windows,pyChess
Vasik Rajlich,2010,,"Commercial (Chessbase, rybkachess.com)",Microsoft Windows,Rybka
Stefan Meyer-Kahlen,1993,2010,Commercial (Chessbase Shredderchess.com),"Microsoft Windows, Mac OS X, Linux, iPhone, iPad, Android",Shredder
Fritz Reul,2008,n/a,Commercial,Nintendo Wii,Wii Chess
"Tim Mann, Harm Geert Muller",,2013,Free GPL,"Unix-like, X11, Microsoft Windows",Winboard/xBoard
