Name,Creates?,Modifies?,Mounts?,Writes/Burns?,Extracts?,Input format,Output format,OS,License
Yes,No,No,No,Yes,"CramFS, DMG, FAT, HFS, MBR, NTFS, ISO, SquashFS, UDF, VHD, WIM[1]",WIM,"Windows, Linux, Classic Mac OS",Free software (GPL),7-Zip
Yes,No,Yes,Yes,Yes,"CD, DVD, ISO, BIN, MDF+MDS, IMG, NRG, CUE, TOC, DMG","CD, DVD, ISO, BIN",Linux,Free software (GPL),AcetoneISO
Yes,No,Yes,Yes,Yes,"TIB, VHD","TIB, VHD",Windows,Shareware,Acronis True Image
Yes,No,Yes,Yes,No,"ISO, B5T, B6T, BWT, CCD, CDI, CUE, MDF+MDS, NRG, ISZ","MDF+MDS, ISO",Windows,Trialware,Alcohol 120%
Yes,No,Yes,No,No,ISO,N/A,Windows,Adware,Alcohol 52% FE
Yes,No,No,No,No,N/A,ISO,Windows,Shareware,AnyDVD HD
No,No,No,No,Yes,ISO,N/A,Unix-like,Free software (GPL),Archive Manager
Yes,No,No,Yes,No,"ISO, BIN+CUE","ISO, BIN+CUE",Windows,Shareware[a],Ashampoo Burning Studio
Yes,No,No,Yes,No,"B5T, B6T, BWA, BWI, BWS, BWT, BIN+CUE, ISO, MDF+MDS","B5T, B6T, BWA, BWI, BWS, BWT, BIN+CUE, ISO, MDF+MDS",Windows,Shareware,BlindWrite
No,No,No,Yes,No,"ISO, CUE","CD, DVD",Linux,Free software (GPL),Brasero
No,No,No,Yes,No,"ISO, CUE, TOC",N/A,Windows,Freeware,Burnatonce
Yes,No,No,Yes,No,"ISO, MDF+MDS, NRG, BIN+CUE","ISO, MDF+MDS",Windows,Freeware,CDBurnerXP
Yes,No,Yes,Yes,Yes,"CSO, ECM, GBI, GZ, XZ, ISZ, DMG, ISO, UDF, NRG, CDI, CCD, SUB, IMG, BIN+CUE, TOC, B5T+B5I, B6T+B6I, MDF+MDS, MDX, CIF, C2D, DAA","ISO, TOC",Linux,Free software (GPL v2),CDemu
Yes,No,No,No,No,N/A,?,"Linux,Unix",Free software (GPL),genisoimage
No,No,No,No,Yes,?,N/A,"Unix, Linux,AmigaWindows, macOS",Free software (GPL),isoinfo
Yes,No,No,No,No,N/A,?,"Unix, Linux,AmigaWindows, macOS",Free software (GPL),mkisofs
Yes,No,No,Yes,Yes,ISO,ISO,Windows,Shareware,CDRoller
Yes,Yes,No,Yes,Yes,"ISO, BIN+CUE, Audio File Types+CUE, ISO+CUE, Audio File Types+ISO+CUE, ISO+Audio File Types+CUE",BIN+CUE,Windows,Shareware,CDRWIN
Yes,No,No,Yes,No,N/A,"ISO, UFD, IMG",Windows,Shareware,CloneCD
Yes,No,No,Yes,Yes,ISO,ISO,Windows,Shareware,CloneDVD
Yes,No,No,Yes,Yes,DMG,DMG,macOS,Shareware,CopyCatX
Yes,All editionsexcept Lite,Yes,Yes[b],All editionsexcept Lite,"BIN+CUE, B5T, B6T, BWT, CCD, CDI, ISO, ISZ, MDF+MDS, MDX, NRG, VHD, VMDK and TrueCrypt[c]","ISO, MDF+MDS, MDX – VHD and TrueCrypt in Ultra edition",Windows,Freemium[d],Daemon Tools
Yes,No,No,Yes,No,ISO,ISO,Windows,Freemium,DeepBurner
Yes,No,No,Yes,No,"CDR, ISO, DMG","CDR, ISO, DMG",macOS,Freeware,Disco
?,?,?,?,?,"CDI, ISO",CDI,Windows,Shareware,DiscJuggler
Yes,Yes,Yes,Yes,Yes,"DMG, ISO","DMG, ISO",macOS,Part of macOS,Disk Utility
No,Yes,Yes,Yes,No,"DMG, ISO","DMG, ISO",macOS,Part of macOS,DiskImageMounter
Yes,No,No,No,Yes[e],"ISO, NRG, IMG, MDF+MDS",ISO,Windows,Freeware,DVD Shrink
Yes[f],Yes,No,Yes,Yes,Audio File Types+CUE,Audio File Types+CUE,Windows,Free software,Exact Audio Copy
No,No,Yes,Yes,No,"ISO, IMG, BIN, MDF+MDS, NRG",?,Linux,Free software (GPL),Furius ISO Mount
Yes,No,Yes,Yes,Yes,"TBI, VHD, VMDK","TBI, VHD, VMDK",Windows,Shareware,Image for Windows
Yes,No,No,Yes,No,"APE+CUE, BIN+CUE, CDI, CDR, DI, FLAC+CUE, GCM, GI, IBQ, IMG, ISO, LST, MDF+MDS, NRG, PDI, UDI, WV","ISO, IMG, BIN+CUE",Windows,Freeware,ImgBurn
Yes,No,Yes,No,No,"CCD, ISO, ISZ, NRG",ISO,Windows,Freeware,ImgDrive
Yes,No,No,Yes,No,ISO,ISO,Windows,Free software (GPL),InfraRecorder
Yes,Yes,No,No,Yes,ISO,ISO,Linux,Free software (GPL),ISO Master[7][8]
Yes,No,No,Yes,No,ISO,ISO,Windows,Free software (BSD license),ISO Recorder
Yes,No,No,Yes,Yes,"DAO, TAO, ISO, BIN+CUE, IMG+CCD, CIF, FCD, NRG, GCD, P01, C2D, CDI, CD, GI, PXI, MDF+MDS, VC4/000, B5T+B5I, B6T+B6I, DMG, IBP+IBQ, NCD, FLP, E01/S01/Ex01, RMG, UDF, DSK, VMDK, IBADR+IBDAT, DD, XISO, XBX, IMAGE, VHD, VHDX, DC42, WBFS, ST, 128, 256, 512, 512E, 1KN, 2KN, 4KN, 8KN, 16KN, 32KN, 64KN[9][10][11]","ISO, TAO, BIN, CUE, IBADR+IBDAT, DSK, 1KN, 2KN, 4KN, 8KN, 16KN, 32KN, 64KN, IBR, IBP and IBQ[11]",Windows,Shareware,IsoBuster
Yes,No,No,No,No,N/A,ISO,Windows,Free software (AFL),IsoCreator[12]
Yes,No,No,Yes,Yes,ISO,N/A,Unix-like,Free software (GPL),K3b
Yes,Yes,Yes,No,Yes,"raw, qcow2, VMDK, VHD","raw, qcow2, VMDK, VHD",Linux,Free software (LGPL),libguestfs
No,No,Yes,No,No,Raw image,N/A,"Linux, FreeBSD",Free software,Loop device[13]
Yes,Yes,With MagicDisc,Yes,Yes,"Both MagicISO and MagicDisc: ISO, BIN+CUE, IMA, IMG, CIF, NRG, IMG+CCD, MDF+MDS, VCD, VaporCD, P01, MD1, XA, VC4/000, VDI, C2D, BWI+BWT, CDI, TAO/DAO, PDI.[14][15]MagicISO only: DMG, FLP, DSK, BFI, BIF, WBT[14]","ISO, BIN+CUE, UIF, NRG, DMG[16]",Windows,Shareware[g][17],MagicISO
No,No,Yes,No,No,ISO,N/A,Linux,Free software (GPL),mount
Yes,No,No,Yes,No,"ISO, NRG","ISO, NRG",Windows,Shareware,Nero Multimedia Suite
Yes,No,No,Yes,No,"ISO, NRG","ISO, NRG",Windows,Shareware,Nero Burning ROM
Yes,No,No,Yes,No,"ISO, NRG","ISO, NRG",Linux,Shareware (Discontinued),Nero Linux
Yes,No,Yes,Yes,?,"GHO, GHS, VMDK, V2I, IV2I, PQI","GHO, GHS, VMDK",Windows,Shareware,Norton Ghost
No,Yes,Yes,?,?,"IMG, DD, ISO, BIN+CUE, 00n, NRG, SDI, AFF(v3), AFM, AFD, VMDK, E01, S01, VHD",?,Windows,Freeware,OSFmount
Yes,No,No,Yes,No,"Compressed file system images: Ext2, Ext3, Reiserfs, FAT16, FAT32, HPFS, JFS, Xfs, UFS, HFS and NTFS","Ext2, Ext3, Reiserfs, FAT16, FAT32, HPFS, JFS, Xfs, UFS, HFS and NTFS",Linux,Free software (GPL),Partimage
No,No,No,No,Yes,"DMG, ISO, VHD, WIM[18]",N/A,"Windows, Linux",Free software (LGPL v3),PeaZip
Yes,Yes,Yes,Yes,Yes,"ISO, DAA, BIN+CUE, MDF+MDS, ASHDISC, BWI+B5I, LCD, IMG, CDI, CDR, CIF, P01, PDI, NRG, NCD, PXI, GI, FCD, VCD, C2D, DMG, BIF, IMA + FLP, IMG, UIF, ISZ, WIM, ESD, VMDK, VHD, VDI","ISO, BIN, DAA","Windows, macOS, Linux",Proprietarycommercial,PowerISO[19]
Yes,No,No,Yes,No,"ISO, C2D, BIN+CUE, GI","ISO, GI",Windows,Proprietarycommercial,Roxio Creator[20]
No,No,No,Yes,No,"ISO, BIN+CUE, IMG, DMG, CDR, NRG",N/A,macOS,Proprietarycommercial,Roxio Toast[21]
