Client,Written in,License,Access API,High availability,Shards,Efficient Redundancy,Redundancy Granularity,Initial release year,Memory requirements (GB)
Java,Apache License 2.0,"HDFS, FUSE, HTTP/REST, S3",hot standby,No,Replication[1],File[2],2013,,Alluxio (Virtual Distributed File System)
C++,LGPL,"librados (C, C++, Python, Ruby), S3, Swift, FUSE",Yes,Yes,Pluggable erasure codes[3],Pool[4],2010,1 per TB of storage,Ceph
C,GPL,C,Yes,Yes,Replication,Volume[5],1987,,Coda
C,GPLv3,"libglusterfs, FUSE, NFS, SMB, Swift, libgfapi",Yes,Yes,Reed-Solomon[6],Volume[7],2005,,GlusterFS
C,GPLv2,"POSIX, FUSE",master,No,Replication[8],File[9],2008,,MooseFS
C,Apache License 2.0,"C++ client, FUSE (C++ server: MetaServer and ChunkServer are both in C++)",master,No,Reed-Solomon[10],File[11],2012,,Quantcast File System
Go,Apache 2.0 or MIT,"HTTP gateway, FUSE, Go client, Javascript client, command line tool",Yes,with IPFS Cluster,Replication[12],Block[13],2015[14],,IPFS
Go,GPLv3,"HTTP(REST), CLI, C# Client, Go Client",Yes,,Replication,,2020,,Kertish-DFS
C++,GPLv3,"POSIX, FUSE, NFS-Ganesha, Ceph FSAL (via libcephfs)",master,No,Reed-Solomon[15],File[16],2013,,LizardFS
C,GPLv2,"POSIX, NFS-Ganesha, NFS, SMB",Yes,Yes,No redundancy[17],No redundancy[18],2003,,Lustre
Go,Apache Licence 2.0,AWS S3 API,Yes,Yes,Reed-Solomon[19],Object[20],2014,,MinIO
C,IBM Public License,"Virtual file system, Installable File System",,,Replication,Volume[21],2000 [22],,OpenAFS
C,AGPLv3 / LGPLv3,"Native (Python, C, Java), HTTP/REST, S3, Swift, FUSE (POSIX, NFS, SMB, FTP)",Yes,,Pluggable erasure codes[24],Object[25],2015,0.5,OpenIO[23]
"C, Python",GPLv2,"FUSE, SMB, NFS, key/value",Yes,,Mojette[26],Volume[27],2011[28],,RozoFS
"Go, Java",Apache License 2.0,"HTTP (REST), POSIX, FUSE, S3, HDFS","requires CockroachDB, undocumented config",,Reed-Solomon[29],Volume[30],2015,,SeaweedFS
Python,GNU GPL [31],"HTTP (browser or CLI), SFTP, FTP, FUSE via SSHFS, pyfilesystem",,,Reed-Solomon[32],File[33],2007,,Tahoe-LAFS
Java,Apache License 2.0,"Java and C client, HTTP, FUSE[34]",transparent master failover,No,Reed-Solomon[35],File[36],2005,,HDFS
"Java, C++",BSD License,"libxtreemfs (Java, C++), FUSE",,,Replication[37],File[38],2009,,XtreemFS
"C, C++",MIT,"libori, FUSE",,,Replication,Filesystem[40],2012,,Ori[39]
