,Ultra HD Blu-ray,Blu-ray Disc,HD DVD,CBHD (CH-DVD),AVCHD,AVCREC,DVD
,405 nm (blue-violet laser),405 or 650 nm,650 nm (red laser),Laser wavelength,,,
,0.85,0.65,0.85 or 0.6,0.6,Numerical aperture,,
100 GB,25(50)/128 GB[a],15/30 GB[a],"1.4/2.6 GB (8 cm DVD),4.7/8.5 GB (12 cm DVD),25/50 GB (12 cm BD)",4.7/8.5 GB,Storage capacity(single side),per layer/maximum,
128 Mbit/s,53.95 Mbit/s,36.55 Mbit/s,Unknown,11.08 Mbit/s,Maximumbitrate,Raw data transfer,
,48.0 Mbit/s,30.24 Mbit/s,27 Mbit/s,10.08 Mbit/s,Audio+Video+Subtitles,,
,40.0 Mbit/s,29.4 Mbit/s,Unknown,9.8 Mbit/s,Video,,
H.265/MPEG-H Part 2,H.264/MPEG-4 AVC / VC-1 / MPEG-2,China's AVS / H.264/MPEG-4 AVC / VC-1 / MPEG-2,H.264/MPEG-4 AVC,H.264/MPEG-4 AVCMPEG-2,MPEG-1 / MPEG-2,Mandatory video codecs,
TBD,Mandatory640 kbit/s,Mandatory504 kbit/s [2],Mandatory64-640 kbit/s,Mandatory448 kbit/s,Audio codecs(maximum data rates shown),lossy,Dolby Digital
TBD,Mandatory1.5 Mbit/s,Unknown,N/A,Optional1.5 Mbit/s,DTS,,
TBD,Optional1.7 Mbit/s,Mandatory3.0 Mbit/s,N/A,N/A,Dolby Digital Plus[d],,
TBD,Optional6.0 Mbit/s,Optional3.0 Mbit/s,Unknown,N/A,N/A,DTS-HD High Resolution,
TBD,Mandatory,Optional,lossless,Linear PCM[h],,,
TBD,Optional18 Mbit/s,Mandatory18 Mbit/s,N/A,N/A,Dolby TrueHD[h],,
TBD,Optional24.5 Mbit/s,Optional18 Mbit/s,Unknown,N/A,N/A,DTS-HD Master Audio[h],
TBD,Mandatory for Bonus View players[c],Mandatory,Unknown,Unknown,N/A,Secondary video decoder (PiP),
TBD,Mandatory for Bonus View players[c],Mandatory,Unknown,Unknown,Optional,Secondary audio decoder,
TBD,BDMV and Blu-ray Disc Java,Standard Content and Advanced Content,CETC,Rudimentary,Interactivity,,
TBD,Mandatory for BD-Live players,Mandatory,Unknown,N/A,Internet support,,
4K UHD 3840×2160,1920×1080p,720×480 (NTSC)720×576 (PAL),Video resolution(maximum),,,,
HFR 60p,"24/25/30p, 50/60i[3][g]","24/25/30p, 50/60i","24/25/30p, 50/60i",Unknown,24/25/30p[g] 50/60i,Frame rates at maximum resolution,
HDR10 / HDR10+ / SL-HDR2,SDR,,,,,,Dynamic range video
Rec. 2020,,,,,,,Color space
,AACS-128bit / BD+ / ROM-Mark,AACS-128bit,AACS-128bit / DKAA,None (Not intended for prerecorded content),CSS 40-bit,Digital Rights Management,
,Three region codes[f],None,Unknown,None,8 regions (6 commercial),Region codes,
TBD,Mandatory,Optional,Hardcoating of disc,,,,
