Name,Creator,First release date,Latest stable version,Latest release date,License,Language,Web application framework,CMS extension
"Belavier Commerce, LLC",2011,1.2.15[1],2019-05-13[±],OSL 3.0,PHP,Model-View-Controller,"integrated, and 3rd party extensions",AbanteCart Software
Apache Software Foundation,2007,17.12.04[2],2020-07-13,Apache 2.0,Java,Apache OFBiz,"integrated, and 3rd party extensions",Apache OFBiz
Batavi,?,Continuous/SaaS,Continuous/SaaS,Proprietary,PHP,,,Batavi
BigCommerce Inc,?,Continuous/SaaS,Continuous/SaaS,Proprietary,PHP,,,BigCommerce
osCommerce and Gary Burton,2019-07-04,1.0.2.0,2019-08-14,GNU GPL,PHP,Bootstrap 4,,CE Phoenix
Drupal Commerce,2011-08-23,2.17[3],2020-02-28[±],GPL,PHP,,Drupal,Drupal Commerce
DS Data Systems UK Ltd,?,9.0.0.0[4],2019-08-26,GNU LGPL,Java,,,KonaKart
Varien,2007-08-13,2.4.1[5],2020-10-15[±],OSL 3.0,PHP,Zend Framework,,Magento
"Miva, Inc.",?,9.14,2019-08-07,Proprietary,MIVA Script,,,Miva Merchant
Nop Solutions Ltd,2008-10-23,4.30[6],2020-05-18[±],GPL,C#,ASP.NET MVC,,nopCommerce
OpenCart Ltd.,1999-05-11,3.0.3.3[7],2020-05-01[±],GPL,PHP,,,OpenCart
osCommerce,2000-03,2.3.4.1[8],2017-08-18,GNU GPL,PHP,,,osCommerce
pimcore GmbH,2010,6.6.10 [9],2020-07-24[±],BSD,PHP,Symfony[10],pimcore,pimcore
PrestaShop SA,2007-08-15,1.7.6.1[11],2019-08-26[±],OSL 3.0,PHP,Model-View-Controller,,PrestaShop
Shopify,2006[12],Continuous/SAAS[13],Continuous/SAAS,Proprietary,Ruby,Ruby on Rails,,Shopify
Sean Schofield,2007,4.1[14],2020-03-02[±],BSD,Ruby,Ruby on Rails,,Spree Commerce
SupaDupa,?,Continuous/SAAS,Continuous/SAAS,Proprietary,Ruby,Ruby on Rails,,SupaDupa
uCoz Media,?,Continuous/SAAS,Continuous/SAAS,Proprietary,Perl,,,uCoz
Max Milbers and Team,?,3.8.4[15],2020-06-18[±],GPL,PHP,,Mambo or Joomla!,VirtueMart
WooThemes,2011[16],3.8.1[17],2019-11-27,GPL,PHP,,WordPress,WooCommerce
Zen Ventures,2003-06[18],1.5.6b[19],2019-05-27[±],GPL,PHP,,,Zen Cart
,Creator,First release date,Latest stable version,Latest release date,License,Language,Web application framework,CMS extension
